title,description,note,sellPrice,tags
Albacore,Prefers temperature edges where cool and warm water meet.,,75,"Beach, 6am – 11am, 6pm – 2am, Fall, Winter, AnyWeather, Fish Stew Quest"
Anchovy,A small silver fish found in the Beach.,,30,"Beach, 6am - 2am, Spring, Fall, AnyWeather"
Blobfish,"This odd creature floats above the Beach floor, consuming AnyWeather edible material in its path.","Winterfest, Sub only",500,"Beach, 5pm - 2am, Winter 15-17, AnyWeather"
Bream,A fairly common river fish that becomes active at night.,,45,"Town, Forest, 6pm – 2am, Spring, Summer, Fall, Winter, AnyWeather, Night Fishing Bundle, Baked Fish"
Bullhead,A relative of the catfish that eats a variety of foods off the Mountain bottom.,,75,"Mountain, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, Lake Fish Bundle"
Carp,A common pond fish.,,30,"Mountain, Secret Woods, Sewers, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, Lake Fish Bundle, Carp Surprise"
Catfish,An uncommon fish found in streams.,Summer requires Secret Woods.,200,"Town, Forest, Secret Woods, Witch's Swamp, 6am - 2am, Spring, Summer, Fall, Rain, River Fish Bundle, Willy"
Chub,A common freshwater fish known for its voracious appetite.,,50,"Forest, Mountain, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, Field Research Bundle"
Dorado,A fierce carnivore with brilliant orange scales.,,100,"Forest, 6am – 7pm, Summer, AnyWeather"
Eel,"A long, slippery little fish.",,85,"Beach, 4pm – 2am, Spring, Fall, Rain, Night Fishing Bundle, Fried Eel, Spicy Eel"
Flounder,"It lives on the bottom, so both eyes are on top of its head.",,100,"Beach, 6am – 8pm, Spring, Summer, AnyWeather, Seafoam Pudding"
Ghostfish,"A pale, blind fish found in underground Mountains.",Ghost drop,45,"Mine 20, Mine 60, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather, Specialty Fish Bundle"
Halibut,A flat fish that lives on the Beach floor.,,80,"Beach, 6am – 11am, 7pm – 2am, Spring, Summer, Winter, AnyWeather"
Herring,A common Ocean Fish.,,30,"Beach, 6am - 2am, Spring, Winter, AnyWeather"
Ice Pip,A rare fish that thrives in extremely cold conditions.,Requires fishing level 5,500,"Mine 60, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather"
Largemouth Bass,A popular fish that lives in Mountains.,,100,"Mountain, 6am – 7pm, Spring, Summer, Fall, Winter, AnyWeather, Lake Fish Bundle, Crispy Bass, Fish Casserole Quest"
Lava Eel,It can somehow survive in pools of red-hot lava.,Requires fishing level 7,700,"Mine 100, 6am - 2am, Spring, Summer, Fall, Winter, AnyWeather"
Lingcod,A fearsome predator that will eat almost AnyWeatherthing it can cram into its mouth.,,120,"Town, Forest, Mountain, 6am - 2am, Winter, AnyWeather, Catch a Lingcod Quest"
Midnight Carp,This shy fish only feels comfortable at night.,,150,"Mountain, 10pm – 2am, Fall, Winter, AnyWeather, Seafoam Pudding"
Midnight Squid,A strange and mysterious denizen of the Beach's twilight depths.,"Winterfest, Sub only",100,"Beach, 5pm - 2am, Winter 15-17, AnyWeather"
Octopus,A mysterious and intelligent creature.,,150,"Beach, 6am – 1pm, Summer, AnyWeather, Willy"
