title,description,type,sellPrice,tags,energy,health
Albacore,Prefers temperature edges where cool and warm water meet.,fish,75,"fish, Beach, 6am – 11am, 6pm – 2am, fall, winter, AnyWeather, Fish Stew Quest",,
Anchovy,A small silver fish found in Beach.,fish,30,"fish, Beach, 6am - 2am, spring, fall, AnyWeather",,
Blobfish,"This odd creature floats above Beach floor, consuming AnyWeather edible material in its path.",fish,500,"fish, Beach, 5pm - 2am, Winter 15-17, AnyWeather, Night Market, Submarine",,
Bream,A fairly common river fish that becomes active at night.,fish,45,"fish, Town, Forest, 6pm – 2am, spring, summer, fall, winter, AnyWeather, Night Fishing Bundle, Baked Fish",,
Bullhead,A relative of the catfish that eats a variety of foods off the Mountain bottom.,fish,75,"fish, Mountain, 6am - 2am, spring, summer, fall, winter, AnyWeather, Lake Fish Bundle",,
Carp,A common pond fish.,fish,30,"fish, Mountain, Secret Woods, Sewers, 6am - 2am, spring, summer, fall, winter, AnyWeather, Lake Fish Bundle, Carp Surprise",,
Catfish,An uncommon fish found in streams.,fish,200,"fish, Town, Forest, Secret Woods, Witch's Swamp, 6am - 2am, spring, summer, fall, Rain, River Fish Bundle, Willy, Secret Woods",,
Chub,A common freshwater fish known for its voracious appetite.,fish,50,"fish, Forest, Mountain, 6am - 2am, spring, summer, fall, winter, AnyWeather, Field Research Bundle",,
Dorado,A fierce carnivore with brilliant orange scales.,fish,100,"fish, Forest, 6am – 7pm, summer, AnyWeather",,
Eel,"A long, slippery little fish.",fish,85,"fish, Beach, 4pm – 2am, spring, fall, Rain, Night Fishing Bundle, Fried Eel, Spicy Eel",,
Flounder,"It lives on the bottom, so both eyes are on top of its head.",fish,100,"fish, Beach, 6am – 8pm, spring, summer, AnyWeather, Seafoam Pudding",,
Ghostfish,"A pale, blind fish found in underground Mountains.",fish,45,"fish, Mine 20, Mine 60, 6am - 2am, spring, summer, fall, winter, AnyWeather, Specialty Fish Bundle, Ghost drop",,
