templateKey,title,description,type,sellPrice,tags
blog-post,Amaranth,A purple grain cultivated by an ancient civilization.,vegetable,150,"Summer, edible, vegetable, Salmon Dinner, Cows Delight Quest"
blog-post,Ancient Fruit,Its been dormant for eons.,fruit,550,"fruit, Traveling Cart, Museum reward, The Lost Bundle"
blog-post,Artichoke,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",vegetable,160,"Summer, Fall, edible, vegetable, Artichoke Dip, Super Meal"
blog-post,Beet,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad.",vegetable,100,"vegetable, Vegetable Medley, Sugar, The Mysterious Qi Quest, Evelyn"
blog-post,Blackberry,An early-fall treat.,fruit,20,"Fall, forageable, Fall Seeds, Blackberry Cobbler, Fall Foraging Bundle, Jelly, Wine"
blog-post,Blue Jazz,The flower grows in a sphere to invite as many butterflies as possible.,flower,50,"Spring, edible, flower, Lucky Lunch"
blog-post,Blueberry,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration,fruit,50,"Spring, edible, fruit, Blueberry Tart, Fruit Salad, Summer Crops Bundle"
blog-post,Bok Choy,The leafy greens and fibrous stalks are healthy and delicious.,vegetable,80,"vegetable, Super Meal"
blog-post,Cactus Fruit,The sweet fruit of the prickly pear cactus.,Fruit,75,"indoors, Sam, Pam, Linus, Jelly, The Desert, Exotic Foraging Bundle, Wine"
blog-post,Cauliflower,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients.",vegetable,175,"Spring, edible, vegetable, Cheese Cauliflower, Spring Crops Bundle, Jodis Request Quest, Maru"
blog-post,Cave Carrot,A starchy snack found in caves. It helps miners work longer.,Forage,25,"forageable, edible, The Mines, Survival Burger, Miners Treat, Roots Platter, Stir Fry, Exotic Foraging Bundle"
blog-post,Chanterelle,A tasty mushroom with a fruity smell and slightly peppery flavor.,forage,160,"Fall, forageable, Life Elixir"
blog-post,Clam,Someone lived here once.,Forage,50,"forageable, Speed-Gro, Chowder, Crab Pot Bundle"
blog-post,Cockle,A common saltwater clam.,Fish,50,"forageable, Crab Pot Bundle"
blog-post,Coconut,A seed of the coconut palm. It has many culinary uses.,Fruit,100,"Spring, Summer, Fall, Winter, The Desert, Tom Kha Soup, Jelly, inedible, Haley, Linus, fruit, Exotic Foraging Bundle, Wine"
blog-post,Coffee Bean,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.,seed,15,"Spring, Summer, seed, Coffee"
blog-post,Common Mushroom,"Slightly nutty, with good texture.",forage,40,"Spring, Summer, The Mines, Farm Cave, Secret Woods, Fried Mushroom, Stir Fry, Tom Kha Soup, Fall Foraging Bundle"
blog-post,Coral,A colony of tiny creatures that clump together to form beautiful structures.,Forage,80,"forageable, fishpond, Deluxe Speed-Gro, Warp Totem Beach"
blog-post,Corn,"One of the most popular grains. The sweet, fresh cobs are a summer favorite",vegetable,50,"Summer, Fall, edible, vegetable, Tortilla Oil, Fall Crops Bundle, Quality Crops Bundle"
blog-post,Cranberries,These tart red berries are a traditional winter food.,fruit,75,"fruit, multi, wine, jelly, Cranberry Candy, Cranberry Sauce, Stuffing, Super Meal"
blog-post,Crocus,A flower that can bloom in the winter.,Flower,60,"forageable, bundle, Sandy, Winter Seeds, Winter Foraging Bundle, Sandy"
blog-post,Crystal Fruit,A delicate fruit that pops up from the snow.,Fruit,150,"fruit, forageable, jelly, wine, bundle, Winter Seeds, Winter Foraging Bundle, Jelly, Wine"
blog-post,Daffodil,A traditional spring flower that makes a nice gift.,flower,30,"Spring, Sandy, Spring Seeds, Spring Foraging Bundle, Sandy"
blog-post,Dandelion,"Not the prettiest flower, but the leaves make a good salad.",forage,40,"Spring, Salad, Spring Seeds, Spring Foraging Bundle"
blog-post,Eggplant,A rich and wholesome relative of the tomato. Delicious fried or stewed.,vegetable,60,"edible, Summer, multi, Eggplant Parmesan, Survival Burger, Fall Crops Bundle"
blog-post,Fairy Rose,An old folk legend suggests that the sweet smell of this flower attracts fairies.,flower,290,"flower, Evelyn, Jas"
blog-post,Fiddlehead Fern,The young shoots are an edible specialty.,vegetable,90,"Summer, forageable, Fiddlehead Risotto, Chefs Bundle, Pickles, Juice"
blog-post,Garlic,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.,vegetable,60,"Spring, edible, vegetable, Escargot, Fiddlehead Risotto, Oil of Garlic"
blog-post,Grape,A sweet cluster of fruit.,fruit,80,"fruit, seed, trellis, forageable, Summer Seeds, Summer Foraging Bundle, Vincent, Jelly, Wine"
blog-post,Green Bean,"A juicy little bean with a cool, crisp snap.",vegetable,40,"Spring, edible, vegetable, Bean Hotpot, Spring Crops Bundle"
blog-post,Hazelnut,"Thats one big hazelnut!,",forage,90,"Fall, forageable, Fall Seeds, Roasted Hazelnuts, Stuffing, Fall Foraging Bundle"
blog-post,Holly,The leaves and bright red berries make a popular winter decoration.,Forage,80,"forageable, Winter"
blog-post,Hops,"A bitter, tangy flower used to flavor beer",vegetable,25,"Summer, edible, vegetable, Pale Ale"
blog-post,Hot Pepper,Fiery hot with a hint of sweetness,fruit,40,"Summer, edible, fruit, Pepper Poppers, Spicy Eel, Summer Crops Bundle, Knee Therapy Quest, Lewis, Shane"
blog-post,Kale,The waxy leaves are great in soups and stir frys.,vegetable,110,"Spring, edible, vegetable, Salmon Dinner, Stir Fry"
blog-post,Leek,A tasty relative of the onion.,vegetable,60,"Spring, Salad, Spring Seeds, Spring Foraging Bundle, George"
blog-post,Melon,"A cool, sweet summer treat",fruit,250,"Summer, edible, fruit, Fruit Salad, Pink Cake, Summer Crops Bundle, Quality Crops Bundle, Crop Research Quest, Haley"
blog-post,Morel,Sought after for its unique nutty flavor.,forage,150,"Spring, Secret Woods, Fried Mushroom, Life Elixir, Exotic Foraging Bundle"
blog-post,Mussel,A common bivalve that often lives in clusters.,Fish,30,"forageable, Crab Pot Bundle, Fish Stew"
blog-post,Nautilus Shell,An ancient shell.,Forage,120,"forageable, quest, Field Research Bundle"
blog-post,Oyster,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment.",Fish,40,"forageable, Crab Pot Bundle"
blog-post,Parsnip,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.,vegetable,35,"Spring, edible, Pam, vegetable, Farmers Lunch, Parsnip Soup, Spring Crops Bundle, Quality Crops Bundle, Pam"
blog-post,Poppy,"In addition to its colorful flower, the Poppy has culinary and medicinal uses",flower,140,"Summer, Penny, edible, flower, Poppyseed Muffin, Chefs Bundle, Penny"
blog-post,Potato,A widely cultivated tuber.,vegetable,80,"Spring, edible, vegetable, Hashbrowns, Spring Crops Bundle"
blog-post,Pumpkin,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",vegetable,320,"vegetable, Abigail, Autumns Bounty, Pumpkin Pie, Pumpkin Soup, Jack-O-Lantern, Fall Crops Bundle, Quality Crops Bundle, Carving Pumpkins Quest, Krobus"
blog-post,Purple Mushroom,A rare mushroom found deep in caves.,Forage,250,"forageable, Wizard, Bulletin Board, Exotic Foraging Bundle, Field Research Bundle, Life Elixir, Wizard"
blog-post,Radish,A crisp and refreshing root vegetable with hints of pepper when eaten raw,vegetable,90,"Summer, edible, vegetable, Radish Salad, Red Plate"
blog-post,Rainbow Shell,Its a very beautiful shell.,Forage,300,"forageable, quest, The Mysterious Qi Quest"
blog-post,Red Cabbage,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.,vegetable,260,"Summer, edible, vegetable, Coleslaw, Fish Taco, Red Plate, Dye Bundle"
blog-post,Red Mushroom,A spotted mushroom sometimes found in caves.,forage,75,"Spring, Summer, The Mines, Farm Cave, Secret Woods, Dye Bundle, Exotic Foraging Bundle, Life Elixir"
blog-post,Rhubarb,"The stalks are extremely tart, but make a great dessert when sweetened",fruit,220,"Spring, fruit, Rhubarb Pie"
blog-post,Salmonberry,A spring-time berry with the flavor of the forest.,fruit,5,"Spring, Forest, Town, Mountain, forageable, Jelly, Wine"
blog-post,Sap,A fluid obtained from trees.,forage,2,"Spring, Summer, Fall, Winter"
blog-post,Sea Urchin,"A slow-moving, spiny creature that some consider a delicacy.",Forage,160,"forageable, fishpond, Dye Bundle"
blog-post,Snow Yam,This little yam was hiding beneath the snow.,Forage,100,"Winter, edible, forage, forageable, Winter Seeds, Winter Foraging Bundle"
blog-post,Spice Berry,It fills the air with a pungent aroma.,fruit,80,"Summer, fruit, jelly, wine, Summer Seeds, Summer Foraging Bundle, Jelly, Wine"
blog-post,Spring Onion,These grow wild during the spring.,forage,8,Spring
blog-post,Starfruit,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone.",fruit,750,"Summer, fruit, jelly, wine, Junimo Hut, Soldiers Star Quest"
blog-post,Strawberry,"A sweet, juicy favorite with an appealing red color",fruit,120,"Spring, Maru, Demetrius, edible, fruit, Demetrius, Maru"
blog-post,Summer Spangle,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma.",flower,90,"Summer, flower"
blog-post,Sunflower,A common misconception is that the flower turns so its always facing the sun,flower,80,"Summer, Fall, edible, flower, Oil, Dye Bundle, Haley"
blog-post,Sweet Gem Berry,Its been dormant for eons.,fruit,3000,"fruit, Stardrop quest, Basic Fertilizer, Quality Fertilizer, Trap Bobber, Torch"
blog-post,Sweet Pea,A fragrant summer flower.,flower,50,"Summer, Sandy, Summer Seeds, Summer Foraging Bundle, Sandy"
blog-post,Tea Leaves,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage.",vegetable,55,"vegetable, Caroline, monthly, Green Tea"
blog-post,Tomato,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses",vegetable,60,"Summer, edible, flower, Bruschetta, Eggplant, Parmesan, Fish Stew, Pizza, Spaghetti, Vegetable Medley, Summer Crops Bundle"
blog-post,Tulip,The most popular spring flower. Has a very faint sweet smell,flower,30,"Spring, edible, Evelyn, flower"
blog-post,Unmilled Rice,Rice in its rawest form. Run this through a mill to increase the value,vegetable,30,"Spring, vegetable, Rice"
blog-post,Wheat,One of the most widely cultivated grains. Makes a great flour for breads and cakes,vegetable,25,"Summer, Fall, edible, flower, Beer, Wheat Flour, Fodder Bundle"
blog-post,Wild Horseradish,A spicy root found in the spring.,forage,50,"Spring, Spring Seeds, Spring Foraging Bundle, Krobus"
blog-post,Wild Plum,Tart and juicy with a pungent aroma.,fruit,80,"Fall, forageable, Fall Seeds, Plum Pudding, Fall Foraging Bundle, Jelly, Wine"
blog-post,Winter Root,A starchy tuber.,Forage,70,"forageable, forage, Winter Seeds, Roots Platter, Winter Foraging Bundle"
blog-post,Yam,A starchy tuber with a lot of culinary versatility.,vegetable,160,"vegetable, Autumns Bounty, Glazed Yams, Fall Crops Bundle, Linus"
